Estimate code,Month,Publisher,Cost
75560.0,2021-06-01,DCM,0.0
75563.0,2021-06-01,DCM,94.18
75565.0,2021-06-01,DCM,2961.23
75582.0,2021-06-01,DCM,204.84
75592.0,2021-06-01,DCM,0.99
75594.0,2021-06-01,DCM,138.26
75596.0,2021-06-01,DCM,110.71999999999998
75598.0,2021-06-01,DCM,0.0
75603.0,2021-06-01,DCM,123.99
75605.0,2021-06-01,DCM,48.49
75607.0,2021-06-01,DCM,35.51
75610.0,2021-06-01,DCM,743.9100000000001
75612.0,2021-06-01,DCM,59.760000000000005
75614.0,2021-06-01,DCM,218.29000000000002
75616.0,2021-06-01,DCM,423.64
75618.0,2021-06-01,DCM,222.3
75622.0,2021-06-01,DCM,179.82999999999998
75624.0,2021-06-01,DCM,186.36
75626.0,2021-06-01,DCM,391.7
75628.0,2021-06-01,DCM,403.18
75630.0,2021-06-01,DCM,60.550000000000004
75632.0,2021-06-01,DCM,926.4
75634.0,2021-06-01,DCM,344.75
75636.0,2021-06-01,DCM,137.07999999999998
75638.0,2021-06-01,DCM,235.4
75640.0,2021-06-01,DCM,11.780000000000001
75642.0,2021-06-01,DCM,504.83
75646.0,2021-06-01,DCM,268.78999999999996
75648.0,2021-06-01,DCM,96.1
75650.0,2021-06-01,DCM,0.0
75652.0,2021-06-01,DCM,280.02
75658.0,2021-06-01,DCM,386.41999999999996
75660.0,2021-06-01,DCM,142.10000000000002
75662.0,2021-06-01,DCM,1277.32
75664.0,2021-06-01,DCM,254.95
75666.0,2021-06-01,DCM,165.24
75668.0,2021-06-01,DCM,136.98000000000002
75670.0,2021-06-01,DCM,160.18
75672.0,2021-06-01,DCM,303.88
75674.0,2021-06-01,DCM,335.71999999999997
75678.0,2021-06-01,DCM,872.43
75680.0,2021-06-01,DCM,82.80000000000001
75682.0,2021-06-01,DCM,70.5
75684.0,2021-06-01,DCM,602.57
75686.0,2021-06-01,DCM,249.51999999999998
75689.0,2021-06-01,DCM,118.2
75691.0,2021-06-01,DCM,127.22
75693.0,2021-06-01,DCM,180.31
75695.0,2021-06-01,DCM,8.21
75697.0,2021-06-01,DCM,667.37
75699.0,2021-06-01,DCM,46.4
75702.0,2021-06-01,DCM,55.99
75704.0,2021-06-01,DCM,567.56
75706.0,2021-06-01,DCM,177.07
75708.0,2021-06-01,DCM,88.72
75710.0,2021-06-01,DCM,93.46
75712.0,2021-06-01,DCM,163.39999999999998
75714.0,2021-06-01,DCM,150.32999999999998
75716.0,2021-06-01,DCM,161.98000000000002
75718.0,2021-06-01,DCM,42.43
75720.0,2021-06-01,DCM,424.8
75722.0,2021-06-01,DCM,70.21000000000001
75724.0,2021-06-01,DCM,150.85
75726.0,2021-06-01,DCM,40.67
75728.0,2021-06-01,DCM,183.97
75730.0,2021-06-01,DCM,338.76
75732.0,2021-06-01,DCM,1085.0700000000002
75734.0,2021-06-01,DCM,788.44
75736.0,2021-06-01,DCM,404.15
75738.0,2021-06-01,DCM,91.44
75740.0,2021-06-01,DCM,242.12
75742.0,2021-06-01,DCM,78.22
75744.0,2021-06-01,DCM,78.55
75746.0,2021-06-01,DCM,145.54000000000002
75748.0,2021-06-01,DCM,153.71
75750.0,2021-06-01,DCM,92.27
75752.0,2021-06-01,DCM,260.83000000000004
75754.0,2021-06-01,DCM,542.9300000000001
75756.0,2021-06-01,DCM,381.11
75758.0,2021-06-01,DCM,76.84
75760.0,2021-06-01,DCM,7.07
75762.0,2021-06-01,DCM,13.43
75764.0,2021-06-01,DCM,118.36
75766.0,2021-06-01,DCM,97.08
75768.0,2021-06-01,DCM,81.68
75770.0,2021-06-01,DCM,295.77
75772.0,2021-06-01,DCM,392.11
75774.0,2021-06-01,DCM,78.37
75781.0,2021-06-01,DCM,105.92
75783.0,2021-06-01,DCM,40.239999999999995
75785.0,2021-06-01,DCM,115.75
75788.0,2021-06-01,DCM,104.82
75790.0,2021-06-01,DCM,55.36
75792.0,2021-06-01,DCM,116.74000000000001
75794.0,2021-06-01,DCM,958.0
75796.0,2021-06-01,DCM,448.08
75798.0,2021-06-01,DCM,188.35000000000002
75800.0,2021-06-01,DCM,56.26
75803.0,2021-06-01,DCM,226.93
75805.0,2021-06-01,DCM,53.6
75807.0,2021-06-01,DCM,101.02000000000001
75809.0,2021-06-01,DCM,187.78
75819.0,2021-06-01,DCM,408.86
75821.0,2021-06-01,DCM,150.66000000000003
75823.0,2021-06-01,DCM,141.87
75825.0,2021-06-01,DCM,140.22
75827.0,2021-06-01,DCM,188.73000000000002
75829.0,2021-06-01,DCM,163.59
75831.0,2021-06-01,DCM,112.65
75833.0,2021-06-01,DCM,203.57
75835.0,2021-06-01,DCM,405.57
75837.0,2021-06-01,DCM,242.29
75839.0,2021-06-01,DCM,25.09
75841.0,2021-06-01,DCM,38.5
75843.0,2021-06-01,DCM,37.36
75845.0,2021-06-01,DCM,63.38
75846.0,2021-06-01,DCM,27.19
75848.0,2021-06-01,DCM,99.97999999999999
75850.0,2021-06-01,DCM,167.95000000000002
75852.0,2021-06-01,DCM,46.54
75854.0,2021-06-01,DCM,115.69
75856.0,2021-06-01,DCM,151.76999999999998
75858.0,2021-06-01,DCM,54.47
75860.0,2021-06-01,DCM,20.33
75862.0,2021-06-01,DCM,11.69
75886.0,2021-06-01,DCM,679.4300000000001
75977.0,2021-06-01,DCM,3.6599999999999997
75979.0,2021-06-01,DCM,1.95
75985.0,2021-06-01,DCM,155.05
75986.0,2021-06-01,DCM,185.97
75987.0,2021-06-01,DCM,435.42
75988.0,2021-06-01,DCM,397.02
75989.0,2021-06-01,DCM,106.45
75990.0,2021-06-01,DCM,933.77
75991.0,2021-06-01,DCM,49.88
75992.0,2021-06-01,DCM,10.69
75993.0,2021-06-01,DCM,74.78999999999999
75994.0,2021-06-01,DCM,40.900000000000006
75995.0,2021-06-01,DCM,167.1
75996.0,2021-06-01,DCM,78.7
75997.0,2021-06-01,DCM,50.84
75998.0,2021-06-01,DCM,730.8
76005.0,2021-06-01,DCM,2257.14
76015.0,2021-06-01,DCM,3484.7200000000003
76018.0,2021-06-01,DCM,467.85
76020.0,2021-06-01,DCM,3543.76
76022.0,2021-06-01,DCM,0.0
76025.0,2021-06-01,DCM,8.55
76027.0,2021-06-01,DCM,32.870000000000005
76029.0,2021-06-01,DCM,41.370000000000005
76031.0,2021-06-01,DCM,14.12
76128.0,2021-06-01,DCM,432.91
76130.0,2021-06-01,DCM,88.76
76132.0,2021-06-01,DCM,183.96
76135.0,2021-06-01,DCM,122.54
76137.0,2021-06-01,DCM,3328.4
76139.0,2021-06-01,DCM,3.73
76141.0,2021-06-01,DCM,28.05
76190.0,2021-06-01,DCM,17.51
76249.0,2021-06-01,DCM,589.5
76337.0,2021-06-01,DCM,199.46
76339.0,2021-06-01,DCM,58.33
76485.0,2021-06-01,DCM,34.47
76504.0,2021-06-01,DCM,2.8000000000000003
76511.0,2021-06-01,DCM,32.36
76515.0,2021-06-01,DCM,0.0
76519.0,2021-06-01,DCM,108.51
76521.0,2021-06-01,DCM,0.0
76523.0,2021-06-01,DCM,0.0
76640.0,2021-06-01,DCM,155.53
76641.0,2021-06-01,DCM,88.17
76642.0,2021-06-01,DCM,291.6
76643.0,2021-06-01,DCM,93.26
76646.0,2021-06-01,DCM,160.56
76655.0,2021-06-01,DCM,60.690000000000005
76657.0,2021-06-01,DCM,43.510000000000005
76659.0,2021-06-01,DCM,24.72
76661.0,2021-06-01,DCM,17.04
76663.0,2021-06-01,DCM,22.43
76676.0,2021-06-01,DCM,684.12
76742.0,2021-06-01,DCM,526.1
76760.0,2021-06-01,DCM,60.230000000000004
76770.0,2021-06-01,DCM,178.54000000000002
76772.0,2021-06-01,DCM,229.35
76790.0,2021-06-01,DCM,235.47
76794.0,2021-06-01,DCM,61.89
76796.0,2021-06-01,DCM,608.59
76799.0,2021-06-01,DCM,143.42
76819.0,2021-06-01,DCM,48.07
76836.0,2021-06-01,DCM,71.75
76837.0,2021-06-01,DCM,48.61
76883.0,2021-06-01,DCM,471.79
76899.0,2021-06-01,DCM,2273.01
76902.0,2021-06-01,DCM,723.8
76904.0,2021-06-01,DCM,34.85
76945.0,2021-06-01,DCM,10.39
76947.0,2021-06-01,DCM,61.32
76949.0,2021-06-01,DCM,28.2
76954.0,2021-06-01,DCM,1287.06
76956.0,2021-06-01,DCM,609.0600000000001
76985.0,2021-06-01,DCM,816.36
